id,Sex,Length,Diameter,Height,Weight,Shucked Weight,Viscera Weight,Shell Weight,Age
25,F,1.4,1.1375,0.4,26.3366855,11.793392,5.96756975,7.7961125,13.0
26,I,1.3,1.0,0.35,16.782904,7.41339425,3.8838815,5.0178615,9.0
27,I,0.8375,0.65,0.2125,5.5281525,2.211261,1.6726205,1.5592225,6.0
28,F,1.55,1.175,0.3875,27.612413,12.643877,4.55009475,7.7961125,12.0
29,M,1.625,1.3125,0.3875,36.38658325,17.61921425,8.334753,8.9300925,9.0
30,F,1.5,1.2,0.375,34.5013415,15.03940975,8.221355,8.0796075,8.0
31,M,1.55,1.2125,0.4125,33.8776525,11.07047975,6.22271525,11.90679,13.0
32,M,1.6,1.2875,0.45,38.88133925,14.35902175,8.448151,11.90679,15.0
33,F,1.525,1.175,0.425,36.173962,15.705623,6.8322295,9.07184,10.0
34,M,1.5125,1.225,0.425,36.3157095,16.20173925,8.5331995,8.6465975,9.0
35,I,1.125,0.825,0.3,13.53688625,5.96756975,2.6932025,3.8271825,8.0
36,I,0.9,0.6875,0.225,5.85417175,2.721552,1.03475675,2.26796,6.0
37,M,1.45,1.125,0.375,26.18076325,11.623295,6.47786075,6.3786375,8.0
38,F,1.6125,1.2875,0.4,35.3518265,11.04213025,5.8683465,11.90679,12.0
39,M,1.375,1.0,0.3375,20.184844,9.25611175,4.23825025,5.10291,10.0
40,I,1.0875,0.8125,0.2125,9.19941275,4.49339575,2.097863,2.6932025,7.0
41,I,1.3375,1.05,0.3625,19.91552375,7.6827145,4.2807745,6.0951425,11.0
42,F,1.0,0.7625,0.3,9.07184,3.69960975,2.05533875,4.252425,8.0
43,F,1.6125,1.2,0.4375,35.6920205,16.76872925,8.845044,8.9300925,11.0
44,F,1.4875,1.15,0.3875,31.19862475,13.16834275,7.654365,9.4970825,15.0
45,M,1.4375,1.125,0.3875,26.988724,10.61688775,7.881161,8.0796075,13.0
46,F,0.9625,0.7625,0.2625,9.73805325,4.876114,2.11203775,2.83495,11.0
47,M,1.4,1.1125,0.4,24.9192105,9.87980075,5.76912325,10.0640725,15.0
48,F,1.5125,1.1375,0.4,30.94347925,12.1619355,7.597666,8.50485,14.0
49,F,1.6,1.25,0.4375,36.7693015,16.726205,6.59125875,11.90679,13.0
50,F,1.1,0.9,0.3125,12.34620725,5.71242425,2.36718325,3.5436875,12.0
51,M,1.5625,1.2375,0.4125,35.50774875,15.52135125,8.60407325,9.4970825,9.0
52,M,1.4,1.125,0.3875,24.76328825,10.50348975,6.5487345,7.087375,8.0
53,F,1.6125,1.225,0.4375,37.1094955,16.6411565,8.68912175,10.20582,9.0
54,M,1.6125,1.3125,0.4125,42.070658,22.38193025,8.901743,9.4970825,9.0
55,F,1.5,1.2,0.4125,29.48348,12.79979925,6.010094,9.48290775,10.0
56,F,1.55,1.225,0.4,31.31202275,13.4660125,7.44174375,8.9300925,11.0
57,M,1.55,1.2,0.4375,34.529691,16.896302,8.618248,8.50485,9.0
58,F,1.475,1.225,0.3875,28.066005,11.94931425,7.29999625,7.93786,16.0
59,I,0.7125,0.525,0.15,2.8632995,1.26155275,0.66621325,0.850485,8.0
60,M,1.475,1.1625,0.4,29.3417325,11.92096475,6.95980225,9.2135875,11.0
61,M,1.425,1.1125,0.375,26.54930675,12.1619355,5.91087075,8.3631025,8.0
62,F,1.5375,1.1625,0.375,39.02308675,18.83824275,6.84640425,8.788345,9.0
63,M,1.2375,0.9375,0.3,18.75319425,8.12213175,4.2240755,5.386405,8.0
64,F,1.3375,1.075,0.3625,23.530085,9.808927,5.386405,6.9456275,11.0
65,M,1.4375,1.15,0.375,24.62154075,10.432616,4.989512,8.221355,9.0
66,I,1.175,0.8875,0.325,13.53688625,6.44951125,2.22543575,3.40194,6.0
67,M,1.425,1.1,0.35,23.40251225,11.8784405,4.932813,6.747181,10.0
68,I,1.1,0.825,0.3125,9.73805325,4.025629,2.33883375,3.5436875,9.0
69,I,0.925,0.675,0.1875,5.443104,1.77184375,1.11980525,1.984465,6.0
70,I,0.8125,0.6,0.175,4.20990075,1.65844575,1.1623295,1.20485375,7.0
71,F,1.575,1.175,0.425,32.16250775,13.87708025,7.1724235,8.3631025,9.0
72,F,1.0875,0.8625,0.3125,10.2341695,3.98310475,2.73572675,3.5436875,8.0
73,F,1.15,0.875,0.325,13.99047825,5.896696,3.231843,4.3941725,11.0
74,M,1.4,1.125,0.3875,24.67823975,9.1001895,5.59902625,7.7961125,11.0
75,I,0.825,0.6625,0.2125,5.1879585,2.22543575,1.03475675,1.8427175,7.0
76,I,0.6125,0.4375,0.1625,1.80019325,0.793786,0.58116475,0.56699,5.0
77,M,1.6,1.25,0.4375,32.4601775,14.13222575,6.64795775,8.9300925,19.0
78,M,1.8,1.425,0.5375,52.900167,24.5223175,11.58077075,14.458245,24.0
79,M,1.15,0.9125,0.25,13.99047825,5.6699,3.0333965,4.3941725,10.0
80,I,1.35,1.0375,0.3375,21.9708625,9.76640275,4.12485225,5.8116475,11.0
81,I,1.5875,1.3125,0.4375,35.6920205,14.911837,7.257472,13.891255,16.0
82,I,1.1625,0.8625,0.275,10.41844125,4.8477645,2.4097075,3.40194,7.0
83,I,0.8,0.625,0.225,4.32329875,1.85689225,0.86465975,1.3891255,5.0
84,M,1.8625,1.4375,0.5125,57.606184,20.19901875,13.60776,15.7906715,18.0
85,M,1.6,1.25,0.4125,35.4652245,17.4349425,7.144074,8.50485,11.0
86,I,0.975,0.7875,0.225,8.60407325,4.0539785,1.43164975,2.4097075,7.0
87,F,1.275,0.975,0.25,15.2236815,6.5487345,3.04757125,4.252425,8.0
88,I,1.0875,0.8,0.3,8.12213175,3.24601775,1.2757275,3.24601775,7.0
89,I,1.2,0.925,0.3,14.8834875,6.47786075,2.87747425,3.8271825,7.0
90,F,1.65,1.2625,0.4125,36.38658325,11.736693,7.52679225,13.60776,15.0
91,I,0.425,0.3125,0.075,0.9922325,0.35436875,0.226796,0.226796,5.0
92,I,0.7,0.525,0.175,3.3168915,1.34660125,0.510291,0.7654365,6.0
93,F,1.55,1.2125,0.5,38.42774725,16.40018575,7.824462,12.0485375,19.0
94,F,1.625,1.3125,0.4125,43.318036,18.5122235,8.43397625,11.679994,13.0
95,I,0.75,0.575,0.1625,3.345241,1.0489315,0.75126175,0.9355335,9.0
96,M,1.4,1.075,0.3625,23.11901725,11.4248485,4.86193925,6.9456275,8.0
97,F,1.7625,1.4125,0.5375,49.5265765,14.84096325,11.89261525,17.57669,14.0
98,M,0.5375,0.4,0.1,1.09145575,0.46776675,0.1417475,0.4252425,5.0
99,I,0.925,0.6875,0.2125,5.31553125,2.0128145,1.43164975,1.644271,6.0
100,I,1.375,1.0125,0.375,24.56484175,6.9456275,4.7910655,9.355335,13.0
101,F,1.25,0.95,0.2875,14.004653,6.0951425,3.01922175,4.252425,10.0
102,F,1.7,1.35,0.525,47.74327,21.33299875,9.9506745,11.1980525,17.0
103,F,1.4625,1.15,0.4125,33.339012,12.3887315,6.30776375,10.77281,13.0
104,M,1.4625,1.2,0.4125,30.3623145,12.60135275,5.48562825,8.50485,11.0
105,I,0.9,0.675,0.2375,6.95980225,2.83495,1.85689225,1.984465,6.0
106,F,1.4875,1.1375,0.4,27.9242575,7.6827145,6.56290925,10.61688775,10.0
107,M,1.425,1.125,0.375,26.40755925,10.50348975,6.22271525,8.6465975,14.0
108,F,1.2,0.975,0.3125,19.74542675,9.62465525,4.4508715,4.819415,8.0
109,M,1.55,1.2125,0.4,39.02308675,14.84096325,8.43397625,10.0640725,17.0
110,M,1.45,1.1625,0.375,27.499015,11.396499,5.3580555,8.788345,11.0
111,M,1.5875,1.2125,0.425,36.61337925,16.839603,7.89533575,9.7805775,11.0
112,M,1.1875,0.9125,0.35,14.75591475,5.74077375,3.72795925,4.819415,8.0
113,I,1.0375,0.8625,0.2875,10.886208,3.912231,1.984465,3.5436875,10.0
114,F,1.3375,1.05,0.3375,19.8163005,9.525432,4.43669675,5.2446575,7.0
115,F,1.3875,1.075,0.3125,26.26581175,11.75086775,5.159609,6.9456275,10.0
116,M,1.3625,1.1,0.3375,26.932025,13.16834275,5.54232725,6.463686,8.0
117,M,1.425,1.15,0.375,28.8314415,13.5794105,6.80388,7.654365,10.0
118,I,1.25,0.975,0.3125,18.597272,7.257472,3.86970675,5.10291,10.0
119,I,0.8125,0.6,0.1625,3.21766825,1.40330025,0.66621325,1.09145575,5.0
120,M,1.4875,1.25,0.4125,35.81959325,15.7906715,7.9095105,9.70970375,12.0
121,M,1.325,1.0625,0.325,24.84833675,8.51902475,5.1879585,7.7961125,9.0
122,M,1.45,1.1375,0.425,27.62658775,12.417081,6.23689,7.654365,9.0
123,I,1.1875,0.875,0.2625,12.6722265,5.10291,3.6003865,3.1467945,9.0
124,M,1.475,1.1625,0.425,31.90736225,14.21727425,6.64795775,8.9300925,10.0
125,I,0.925,0.7125,0.225,6.1518415,2.721552,1.644271,2.1262125,5.0
126,F,1.55,1.25,0.45,31.62386725,10.0073735,7.0023265,10.489315,12.0
127,F,1.3,1.0875,0.4125,28.7747425,12.0485375,5.71242425,8.3631025,13.0
128,M,1.525,1.2625,0.5,38.20095125,13.60776,9.39785925,11.623295,13.0
129,F,1.625,1.3125,0.4875,47.07434475,20.73765925,9.412034,13.891255,10.0
130,I,1.3375,1.05,0.4,19.83047525,8.3064035,3.86970675,6.9456275,10.0
131,F,1.4,1.1,0.375,28.91649,12.85649825,6.25106475,7.087375,8.0
132,I,1.375,1.0625,0.375,25.060958,11.0846545,5.40057975,6.0951425,9.0
133,F,0.9625,0.75,0.25,9.015141,4.63514325,2.5231055,2.6932025,6.0
134,M,1.4125,1.075,0.375,28.066005,12.0485375,6.1518415,7.93786,17.0
135,I,1.4,1.1125,0.3375,21.829115,10.70193625,5.00368675,5.6982495,9.0
136,I,0.575,0.4125,0.1,1.31825175,0.4819415,0.4252425,0.4252425,9.0
137,I,0.925,0.6875,0.2,5.5848515,2.211261,1.6159215,1.70097,6.0
138,F,1.45,1.1625,0.375,26.20911275,10.5176645,6.22271525,8.0796075,11.0
139,I,1.125,0.9,0.325,14.81261375,6.27941425,2.79242575,4.53592,9.0
140,I,1.2125,0.95,0.3,14.6566915,5.556502,3.01922175,5.85417175,8.0
141,F,1.65,1.2875,0.4,34.6147395,16.0174675,7.27164675,9.63883,11.0
142,M,1.6,1.225,0.425,33.55163325,13.2959155,6.13766675,11.1980525,11.0
143,F,1.825,1.4375,0.4375,59.20793075,28.05183025,13.551061,14.4865945,10.0
144,M,1.5125,1.2125,0.4125,36.117263,16.726205,6.39281225,9.08601475,23.0
145,I,1.25,1.0,0.3125,18.55474775,7.98038425,3.9405805,5.953395,8.0
146,F,1.525,1.2375,0.425,31.75144,14.4298955,6.917278,9.63883,11.0
147,M,1.55,1.2375,0.4625,36.7126025,16.96717575,8.3064035,10.6310625,11.0
148,F,1.575,1.2375,0.375,30.83008125,15.025235,6.67630725,8.9300925,12.0
149,I,1.075,0.8,0.275,10.73028575,4.309124,2.33883375,2.9766975,8.0
150,I,0.825,0.65,0.225,5.57067675,2.48058125,1.1623295,1.8427175,7.0
151,I,1.25,0.9625,0.375,16.386011,6.2652395,3.69960975,4.3941725,9.0
152,I,1.1,0.875,0.25,12.54465375,5.6982495,2.5231055,3.8271825,7.0
153,I,1.4125,1.075,0.3625,22.75047375,9.85145125,4.86193925,6.3786375,9.0
154,I,1.375,1.075,0.325,22.80717275,9.36950975,5.48562825,5.6982495,9.0
155,I,1.4625,1.15,0.375,26.138239,11.5949455,4.422522,8.6465975,11.0
156,M,1.25,0.95,0.35,17.7184375,7.0590255,4.53592,5.953395,10.0
157,M,1.375,1.075,0.375,22.15513425,9.7238785,5.42892925,6.0384435,8.0
158,M,1.6125,1.275,0.4375,34.9549335,14.0897015,9.695529,9.922325,9.0
159,M,1.5375,1.175,0.4875,28.7180435,12.7289255,5.8116475,9.355335,13.0
160,F,1.4,1.075,0.4375,23.51591025,9.865626,5.79747275,7.5126175,9.0
161,M,1.2,0.9125,0.325,14.855138,6.350288,3.10427025,4.9611625,8.0
162,F,1.25,0.975,0.325,16.8112535,6.25106475,3.6570855,5.10291,13.0
163,I,0.6,0.4375,0.1375,1.8994165,0.60951425,0.510291,0.56699,4.0
164,M,1.55,1.225,0.3875,31.22697425,13.9763035,6.4920355,9.922325,11.0
165,M,1.4875,1.15,0.425,33.8776525,14.401546,7.27164675,8.3631025,10.0
166,I,1.275,0.95,0.2875,13.39513875,6.5487345,2.948348,4.252425,8.0
167,F,1.4,1.1,0.3875,28.64716975,12.43125575,6.73300625,8.0796075,8.0
168,M,1.55,1.2125,0.4375,34.68561325,15.762322,7.98038425,8.788345,13.0
169,I,1.3,1.0,0.375,22.0275615,9.42620875,4.4508715,6.0951425,9.0
170,M,1.2875,1.0,0.325,18.71067,7.711064,3.81300775,6.80388,12.0
171,M,1.2625,0.9875,0.325,16.4143605,7.6260155,3.67126025,4.819415,9.0
172,M,1.625,1.3125,0.4875,44.5370645,18.63979625,9.298636,12.0485375,11.0
173,I,0.525,0.375,0.1,1.06310625,0.510291,0.18427175,0.32601925,5.0
174,I,0.9375,0.75,0.225,7.9662095,3.118445,1.247378,2.26796,8.0
175,I,0.9625,0.7125,0.25,8.901743,3.96893,1.8427175,2.26796,6.0
176,I,0.9125,0.6625,0.225,5.556502,2.48058125,1.020582,1.65844575,8.0
177,I,0.5125,0.3625,0.1375,1.020582,0.35436875,0.226796,0.29766975,4.0
178,M,0.925,0.675,0.225,5.1879585,2.36718325,1.09145575,1.70097,6.0
179,I,0.475,0.325,0.075,0.75126175,0.35436875,0.226796,0.2551455,3.0
180,I,1.0125,0.75,0.225,9.42620875,4.0539785,1.8427175,2.26796,7.0
181,M,1.475,1.175,0.4125,33.26813825,13.56523575,6.98815175,7.654365,10.0
182,I,1.4625,1.125,0.375,21.21960075,9.87980075,3.84135725,6.0951425,8.0
183,I,0.825,0.6125,0.225,4.46504625,1.68679525,0.963883,1.28990225,6.0
184,M,1.6875,1.275,0.5375,49.781722,17.6050395,11.12717875,14.514944,20.0
185,I,1.525,1.175,0.375,34.529691,16.57028275,8.60407325,8.9300925,14.0
186,M,1.4375,1.125,0.425,24.67823975,9.31281075,5.71242425,8.6465975,13.0
187,M,1.5625,1.225,0.3875,32.44600275,15.081934,7.75358825,8.1930055,10.0
188,I,1.175,0.875,0.275,15.49300175,6.56290925,3.75630875,4.53592,8.0
189,M,1.25,1.0,0.3,19.83047525,8.83086925,3.98310475,5.273007,12.0
190,F,1.225,0.9375,0.2875,16.386011,6.577084,3.18931875,4.819415,17.0
191,I,0.9625,0.725,0.2125,6.0951425,2.70737725,1.40330025,2.02698925,6.0
192,M,1.3125,1.075,0.35,20.638436,8.34892775,3.96893,6.3786375,9.0
193,I,1.125,0.8375,0.3,10.4609655,4.1673765,2.50893075,3.2601925,12.0
194,F,1.525,1.125,0.475,33.0838665,14.50076925,7.38504475,9.7805775,10.0
195,I,1.1375,0.8625,0.2375,10.44679075,4.7343665,1.74349425,3.5436875,7.0
196,M,1.375,1.0875,0.375,24.76328825,11.679994,4.94698775,6.80388,11.0
197,M,1.55,1.175,0.4125,33.8776525,15.35125425,8.03708325,8.7599955,9.0
198,F,1.125,0.8625,0.3,11.283101,4.69184225,2.67902775,3.8271825,10.0
199,M,1.475,1.175,0.35,28.066005,11.963489,6.747181,7.2291225,8.0
200,F,1.775,1.4125,0.4625,49.384829,23.09066775,10.035723,12.8990225,9.0
201,I,0.9625,0.7,0.25,8.618248,3.44446425,1.7293195,2.664853,7.0
202,F,1.2625,0.9625,0.3125,17.53416575,8.34892775,3.685435,5.2446575,8.0
203,M,1.2,0.95,0.3125,14.855138,6.67630725,3.10427025,4.3941725,9.0
204,M,1.375,1.15,0.35,28.76056775,13.9196045,6.81805475,7.5126175,8.0
205,M,0.4375,0.325,0.1375,0.89300925,0.29766975,0.18427175,0.35436875,6.0
206,F,1.6,1.2625,0.45,39.19318375,13.70698325,8.901743,10.0640725,19.0
207,F,1.2875,0.9875,0.35,25.741346,10.8011595,4.49339575,8.0796075,10.0
208,F,1.5375,1.2375,0.4,32.41765325,12.927372,7.01650125,9.922325,17.0
209,M,1.5375,1.2,0.4375,39.7743485,16.782904,7.654365,11.90679,10.0
210,F,1.4875,1.1625,0.4125,30.107169,14.35902175,4.89028875,7.93786,13.0
211,I,0.9625,0.725,0.225,6.7188315,3.005047,1.11980525,2.26796,6.0
212,M,1.5125,1.1625,0.4125,32.44600275,12.3887315,5.8116475,10.6310625,9.0
213,F,1.475,1.1,0.3625,25.52872475,11.43902325,6.30776375,7.83863675,8.0
214,F,1.375,1.0625,0.325,20.70930975,9.31281075,4.32329875,6.80388,11.0
215,I,0.9375,0.6875,0.1875,6.1518415,2.721552,1.247378,1.984465,8.0
216,M,1.5375,1.175,0.425,32.33260475,14.92601175,6.917278,9.7805775,11.0
217,F,1.425,1.0875,0.3875,27.385617,13.721158,6.44951125,6.9456275,11.0
218,F,1.4125,1.1,0.3875,25.69882175,10.8578585,5.62737575,6.80388,10.0
219,I,1.2625,1.0,0.3125,16.5277585,7.3992195,3.7137845,4.9611625,9.0
220,I,1.125,0.8875,0.2875,13.33843975,5.159609,3.345241,3.5436875,8.0
221,M,1.175,0.875,0.3125,13.93377925,5.6699,2.90582375,4.3941725,11.0
222,I,1.3625,1.0,0.3125,20.97863,8.3631025,4.3374735,5.2446575,9.0
223,M,1.4125,1.075,0.375,23.28911425,11.04213025,4.3941725,5.37223025,9.0
224,F,1.8,1.425,0.525,52.34735175,21.98503725,11.566596,16.44271,13.0
225,F,1.1625,0.925,0.325,13.53688625,5.37223025,3.0900955,4.3941725,11.0
226,F,1.5125,1.175,0.45,32.21920675,13.891255,7.711064,8.0796075,11.0
227,M,1.45,1.075,0.35,23.85610425,11.43902325,4.89028875,6.73300625,10.0
228,I,1.075,0.85,0.25,10.33339275,4.55009475,2.26796,2.9766975,7.0
229,M,1.225,0.9375,0.3125,15.66309875,6.08096775,3.41611475,5.5281525,9.0
230,M,1.3625,1.0375,0.3375,21.27629975,9.241937,4.422522,5.57067675,8.0
231,F,1.5375,1.2375,0.4,31.3828965,13.891255,7.9095105,10.0640725,17.0
232,M,1.3375,1.05,0.375,23.09066775,11.396499,5.51397775,6.5487345,8.0
233,M,1.5125,1.175,0.4,28.8314415,11.4248485,6.95980225,8.3631025,10.0
234,M,1.4625,1.1625,0.3625,26.63435525,10.84368375,6.6054335,7.5126175,10.0
235,I,1.225,0.925,0.2875,14.2030995,7.0590255,2.9199985,3.8271825,7.0
236,M,1.1625,0.8875,0.2875,13.48018725,5.443104,2.948348,4.3941725,11.0
237,I,0.8125,0.6125,0.1875,4.52174525,2.26796,0.86465975,1.2757275,7.0
238,F,1.5125,1.1875,0.3875,29.7386255,12.0485375,6.56290925,9.4970825,16.0
239,I,1.15,0.875,0.275,11.6516445,5.74077375,2.67902775,3.2601925,8.0
240,I,0.9,0.675,0.2375,7.087375,2.90582375,1.48834875,1.984465,6.0
241,I,1.1875,0.9125,0.2875,14.75591475,6.19436575,3.4869885,5.216308,8.0
242,M,1.2125,0.925,0.3125,15.3937785,6.76135575,3.27436725,4.9611625,7.0
243,M,1.4875,1.1375,0.375,27.158821,13.9196045,4.932813,7.1724235,8.0
244,I,0.9875,0.75,0.225,8.57572375,4.37999775,1.871067,2.551455,7.0
245,I,1.3,1.0625,0.325,18.80989325,7.38504475,3.98310475,6.3786375,10.0
246,F,1.425,1.125,0.4,26.365035,11.0846545,5.5281525,7.087375,9.0
247,I,1.2875,1.05,0.35,19.66037825,9.87980075,4.09650275,5.6699,10.0
248,M,1.7,1.3,0.5,47.513762,21.36134825,10.39009175,12.757275,10.0
249,M,1.4125,1.1375,0.45,31.19862475,12.85649825,7.69688925,7.5126175,10.0
250,F,1.425,1.125,0.3625,32.545226,15.252031,6.13766675,7.7961125,8.0
251,I,0.9,0.6625,0.2375,6.1518415,3.061746,1.37495075,1.984465,7.0
252,M,1.6625,1.2875,0.4875,39.81687275,19.29183475,9.39785925,11.623295,10.0
253,M,1.575,1.275,0.425,39.405805,16.045817,8.68912175,10.8011595,9.0
254,M,1.6125,1.275,0.4375,37.364641,15.592225,7.994559,9.355335,13.0
255,M,1.2625,1.0875,0.35,19.51863075,8.0796075,4.1106775,5.953395,10.0
256,F,1.4375,1.1,0.375,24.42309425,10.50348975,4.57844425,7.2291225,12.0
257,I,1.0125,0.775,0.2625,8.17883075,3.345241,1.8427175,2.3530085,9.0
258,F,1.625,1.3125,0.475,43.21881275,20.2131935,9.015141,12.757275,9.0
259,M,1.4,1.1,0.3625,23.48756075,9.62465525,5.57067675,6.6621325,11.0
260,M,1.5875,1.3,0.4125,34.189497,13.99047825,8.391452,10.0640725,11.0
261,M,1.5625,1.25,0.4125,39.2073585,20.2131935,8.54737425,9.922325,9.0
262,M,1.375,1.0625,0.425,22.15513425,10.47514025,5.54232725,6.9456275,10.0
263,M,1.3125,1.0375,0.3125,22.1976585,8.561549,4.139027,6.3786375,13.0
264,F,1.5625,1.225,0.4375,35.50774875,17.860185,8.85921875,9.752228,10.0
265,I,0.8,0.6,0.1875,4.309124,1.54504775,0.86465975,1.20485375,8.0
266,I,1.1875,0.875,0.2625,13.25339125,6.02426875,2.8066005,3.685435,8.0
267,M,0.8,0.6125,0.225,4.9044635,1.80019325,0.963883,1.417475,6.0
268,F,1.3,1.0125,0.3125,18.71067,7.93786,4.01145425,4.9611625,8.0
269,I,0.7875,0.5625,0.2,4.422522,1.91359125,0.97805775,1.2757275,7.0
270,M,1.3125,0.975,0.3125,14.5999925,6.973977,3.685435,4.9611625,9.0
271,I,1.3875,1.1,0.3375,24.8058125,11.8784405,5.896696,6.70465675,8.0
272,F,1.225,0.975,0.3625,18.653971,6.9456275,4.55009475,5.5281525,14.0
273,I,1.1,0.85,0.275,11.2547515,5.65572525,2.778251,3.685435,8.0
274,I,1.025,0.7875,0.225,9.45455825,3.515338,1.60174675,2.6932025,7.0
275,I,1.1875,0.9375,0.3125,15.91824425,6.10931725,3.8271825,4.7910655,11.0
276,M,1.775,1.4125,0.5,49.781722,18.2287285,12.360382,16.44271,22.0
277,I,1.275,1.0,0.3,16.896302,7.92368525,3.3735905,4.1106775,8.0
278,F,1.4375,1.1375,0.4375,30.03629525,14.04717725,5.726599,7.087375,10.0
279,I,0.6875,0.5,0.1625,2.9199985,1.20485375,0.623689,0.793786,6.0
280,F,1.6,1.25,0.4375,39.745999,20.241543,8.68912175,11.1980525,10.0
281,I,1.2125,0.9625,0.3125,17.633389,7.15824875,3.3735905,5.2446575,8.0
282,M,1.6,1.2875,0.4625,35.6920205,16.93882625,7.29999625,9.63883,11.0
283,I,1.1875,0.925,0.35,14.35902175,6.8322295,2.87747425,4.3941725,7.0
284,F,1.5625,1.225,0.4125,32.545226,16.2442635,6.6054335,8.788345,11.0
285,I,1.3625,1.025,0.35,19.17843675,9.7238785,3.95475525,5.20213325,8.0
286,F,1.4625,1.15,0.375,28.576296,11.963489,8.0229085,8.0796075,10.0
287,I,0.9,0.6875,0.225,5.85417175,2.05533875,1.417475,1.984465,6.0
288,I,0.95,0.675,0.2625,6.4353365,2.83495,1.1623295,1.984465,7.0
289,M,1.45,1.15,0.3625,26.1098895,10.77281,5.10291,8.221355,11.0
290,M,1.2,0.95,0.3125,16.40018575,7.1157245,3.72795925,4.3941725,8.0
291,I,1.35,1.05,0.35,23.7285315,10.262519,5.06038575,6.0384435,9.0
292,I,1.4375,1.0875,0.35,21.64484325,8.94426725,4.86193925,5.17378375,8.0
293,F,1.4375,1.1375,0.3125,26.1665885,11.4248485,6.860579,7.37087,10.0
294,I,1.1375,0.8625,0.3,13.947954,6.4920355,3.58621175,3.40194,8.0
295,M,1.0125,0.75,0.25,8.9300925,4.139027,1.7293195,2.50893075,7.0
296,M,1.6,1.25,0.4,34.302895,15.83319575,6.42116175,9.1568885,10.0
297,F,1.3,0.9875,0.3125,15.422128,6.78970525,3.7137845,4.3941725,9.0
298,M,1.3,1.0625,0.3625,21.5172705,9.8939755,5.0745605,6.0951425,9.0
299,M,1.6125,1.25,0.4625,41.71628925,18.01610725,8.4765005,12.5021295,11.0
300,M,1.175,0.8875,0.35,13.721158,5.82582225,2.87747425,4.3941725,9.0
301,F,1.6375,1.275,0.4375,34.68561325,16.839603,7.0023265,9.19941275,12.0
302,F,1.6875,1.3125,0.4875,43.02036625,18.9091165,9.42620875,11.3398,11.0
303,I,1.4,1.125,0.375,24.73493875,12.57300325,5.93922025,6.3786375,8.0
304,F,1.6625,1.2625,0.45,39.95862025,19.674553,8.221355,10.5176645,11.0
305,M,1.25,0.95,0.3375,15.87572,7.0590255,3.4869885,4.5642695,13.0
306,M,1.4625,1.125,0.4,25.684647,10.149121,6.2085405,7.7961125,12.0
307,F,1.5125,1.1625,0.4375,30.4190135,12.47378,7.07320025,9.19941275,13.0
308,I,1.0125,0.75,0.25,9.19941275,4.0539785,1.88524175,2.26796,6.0
309,I,0.575,0.45,0.15,1.644271,0.623689,0.41106775,0.510291,4.0
310,M,1.4375,1.1125,0.3875,28.76056775,12.48795475,7.9662095,7.93786,10.0
311,F,1.4625,1.15,0.45,31.127751,9.2702865,5.613201,13.1825175,16.0
312,F,1.5625,1.2125,0.375,32.16250775,14.92601175,7.35669525,8.9300925,10.0
313,F,1.4875,1.175,0.3875,28.2077525,11.35397475,6.36446275,10.489315,13.0
